protein_id,mbl_avg,mbl_max,mbl_min,sim_lin_avg,sim_lin_max,sim_lin_min,sim_resnik_avg,sim_resnik_max,sim_resnik_min,sim_schlicker_avg,sim_schlicker_max,sim_schlicker_min,sim_wang_avg,sim_wang_max,sim_wang_min
HDAC3_HUMAN,8.991902834008098,20.0,1.0,0.03493097579278996,1.0,0.0,0.1759378470442696,7.6255950721324535,0.0,0.026429080516159102,0.9995121951219512,0.0,0.06595427810939765,0.9192078040018249,0.0
BCAT2_HUMAN,4.0,8.0,2.0,0.1434489063227817,1.0,0.0,1.3206987645044017,9.235032984566555,0.0,0.14284901073460035,0.9999024390243902,0.0,0.14769241712859277,0.7469266775724398,0.0
GAK_HUMAN,9.045454545454545,16.0,1.0,0.06787750659227683,0.8370731568244043,0.0,0.344188956860461,4.795193963144138,0.0,0.054921185798522315,0.8301510684857882,0.0,0.09842691779294427,0.9043207230597774,0.0
DEGS1_HUMAN,6.095238095238095,14.0,1.0,0.0626271674841294,0.8479842901062933,0.0,0.21111681235003132,3.4192623890597944,0.0,0.04582063343014493,0.5853547113711787,0.0,0.1109585725857396,0.8145400593471811,0.0
MRP3_HUMAN,4.393939393939394,10.0,1.0,0.13658351596659044,0.9326014354391734,0.0,0.8797807746893401,6.056979154218609,0.0,0.12945869273218769,0.9304177832976572,0.0,0.14909561343517988,0.8962965421119002,0.0
MDM4_HUMAN,9.766666666666667,17.0,1.0,0.07443631143725654,0.9381156548996041,0.0,0.2845606505141974,2.7700344424346843,0.0,0.05384402289285064,0.8793334719199614,0.0,0.08054170216376765,0.9192078040018249,0.0
GSTA4_HUMAN,4.75,8.0,1.0,0.061592437678072466,0.7500176413652418,0.0,0.17748120597754025,1.7191438993514285,0.0,0.048117280025606377,0.6155998455420273,0.0,0.09971674170097836,0.7469635627530365,0.0
PDPK1_HUMAN,9.989583333333334,17.0,1.0,0.06069140298899629,0.8714212762181417,0.0,0.3109551753340235,4.735175953417885,0.0,0.040030880454114716,0.8475741978152411,0.0,0.10023117342633857,0.9270060375934089,0.0
MRP4_HUMAN,6.333333333333333,16.0,1.0,0.10720685538205825,0.9215070591164771,0.0,0.7113858263115298,7.067319848653476,0.0,0.0980240905515752,0.9207214606006063,0.0,0.1111184925880521,0.8962965421119002,0.0
PAPS1_HUMAN,9.0,15.0,5.0,0.029179409088414036,0.5008811517467671,0.0,0.2538503007455306,4.346024420801244,0.0,0.02801096133841568,0.4943906201981304,0.0,0.0414327409666362,0.3581813931052036,0.0
HTRA2_HUMAN,8.423423423423424,16.0,1.0,0.037649965936866786,0.9665145850465756,0.0,0.1902979845995213,4.562204150104648,0.0,0.02895064761485123,0.956425115719748,0.0,0.0771309280961136,0.9121628458675781,0.0
